Player #,Spreadsheet.Link,Round 1,Split 1,Allocation 1,Round 2,Split 2,Allocation 2,Round 3,Split 3,Allocation 3,Round 4,Split 4,Allocation 4,Round 5,Split 5,Allocation 5,Round 6,Split 6,Allocation 6,Round 7,Split 7,Allocation 7,Round 8,Split 8,Allocation 8,Round 9,Split 9,Allocation 9,Round 10,Split 10,Allocation 10,Round 11,Split 11,Allocation 11,Round 12,Split 12,Allocation 12,Round 13,Split 13,Allocation 13,Round 14,Split 14,Allocation 14,Round 15,Split 15,Allocation 15,Round 16,Split 16,Allocation 16,Round 17,Split 17,Allocation 17,Round 18,Split 18,Allocation 18,Round 19,Split 19,Allocation 19,Round 20,Split 20,Allocation 20,Round 21,Split 21,Allocation 21,Round 22,Split 22,Allocation 22,Round 23,Split 23,Allocation 23
1,https://docs.google.com/spreadsheets/d/1KgsY0kqVS6R51xb2vxyIJY6wg4uvHOBsGtnmmmM-yI4/edit?usp=sharing,2,EVEN,11,2,EVEN,11,3,EVEN,11,7,ODD,11,2,ODD,20,3,EVEN,11,12,ODD,20,11,EVEN,11,3,ODD,11,8,EVEN,11,6,EVEN,11,7,ODD,11,5,ODD,20,11,EVEN,11,2,EVEN,11,10,EVEN,11,7,ODD,20,8,EVEN,11,12,EVEN,11,6,EVEN,11,3,EVEN,11,6,EVEN,11,8,ODD,20
2,https://docs.google.com/spreadsheets/d/10rZPp1WQRk6x78uX6gEJroHGd20exBL6LOTmkaDNNOs/edit?usp=sharing,1,EVEN,11,1,EVEN,11,6,ODD,11,10,EVEN,11,1,ODD,11,6,EVEN,11,5,EVEN,11,8,EVEN,11,11,EVEN,11,11,ODD,11,12,EVEN,11,3,EVEN,11,7,EVEN,11,3,ODD,11,1,EVEN,11,7,ODD,20,3,ODD,11,3,EVEN,11,9,EVEN,11,12,ODD,11,11,ODD,11,4,ODD,11,7,EVEN,11
3,https://docs.google.com/spreadsheets/d/1MBOpP3Gy_vORNCk45JjmmbdQdixsJC8APBvtbfojl7M/edit?usp=sharing,8,EVEN,11,12,EVEN,11,1,EVEN,11,12,ODD,20,10,EVEN,11,1,EVEN,11,4,EVEN,11,4,ODD,11,1,ODD,20,5,EVEN,11,9,EVEN,11,2,EVEN,11,11,EVEN,11,2,ODD,20,8,ODD,20,11,EVEN,11,2,ODD,20,2,EVEN,11,5,ODD,20,5,ODD,20,1,EVEN,11,7,ODD,11,10,ODD,20
4,https://docs.google.com/spreadsheets/d/1GQHANJwt21L_bPqLY1_csXepCGg0DotX1Eg2JfJJIdY/edit?usp=sharing,11,ODD,11,10,ODD,11,8,ODD,20,8,EVEN,11,6,EVEN,11,5,EVEN,11,3,EVEN,11,3,ODD,20,7,ODD,20,6,EVEN,11,11,EVEN,11,5,EVEN,11,9,ODD,20,7,EVEN,11,6,ODD,20,6,EVEN,11,9,ODD,11,9,EVEN,11,11,ODD,11,7,EVEN,11,12,EVEN,11,2,ODD,20,6,ODD,11
5,https://docs.google.com/spreadsheets/d/1dlqTfVTUg9EAsSMl0zAx3HsQ4S8QAPOZj-3TX0g-5aA/edit?usp=sharing,9,EVEN,11,8,EVEN,11,12,ODD,11,6,EVEN,11,8,ODD,20,4,EVEN,11,2,EVEN,11,6,ODD,20,6,ODD,20,3,EVEN,11,8,ODD,20,4,EVEN,11,1,ODD,11,12,ODD,11,12,EVEN,11,12,EVEN,11,11,ODD,20,10,EVEN,11,3,ODD,11,3,ODD,11,9,ODD,11,11,ODD,20,9,ODD,20
6,https://docs.google.com/spreadsheets/d/12ZD3f6gipT4Gbpev8rVxq_CtWOtGgiUqn2KykmSKMzQ/edit?usp=sharing,12,ODD,11,7,ODD,20,2,ODD,20,5,EVEN,11,4,EVEN,11,2,EVEN,11,9,EVEN,11,5,ODD,11,5,ODD,11,4,EVEN,11,1,EVEN,11,12,ODD,11,8,ODD,20,9,ODD,11,4,ODD,11,4,EVEN,11,8,ODD,20,11,EVEN,11,8,EVEN,11,1,EVEN,11,10,ODD,20,1,EVEN,11,4,ODD,20
7,https://docs.google.com/spreadsheets/d/1QtKkuiRPoVhBcBbLgADA4Zj6BJ7DFM5ZmyOwqWJLU-g/edit?usp=sharing,10,ODD,11,6,ODD,11,9,EVEN,11,1,ODD,20,11,ODD,20,9,EVEN,11,11,EVEN,11,9,ODD,20,4,ODD,11,9,ODD,20,10,ODD,20,1,ODD,20,2,EVEN,11,4,EVEN,11,11,ODD,11,2,ODD,11,1,ODD,11,12,EVEN,11,10,EVEN,11,4,EVEN,11,8,ODD,20,3,ODD,20,2,EVEN,11
8,https://docs.google.com/spreadsheets/d/1bCi6TzvONLrfCNBj6a2dYMry2ziEOhng3Ri_ED50EJE/edit?usp=sharing,3,EVEN,11,5,EVEN,11,4,ODD,11,4,EVEN,11,5,ODD,11,10,ODD,20,10,EVEN,11,2,EVEN,11,9,ODD,11,1,EVEN,11,5,ODD,11,9,ODD,11,6,ODD,11,10,EVEN,11,3,ODD,11,9,ODD,11,6,ODD,11,1,EVEN,11,6,EVEN,11,10,EVEN,11,7,ODD,11,10,ODD,20,1,ODD,11
9,https://docs.google.com/spreadsheets/d/1S2q--bJ8If9oHu4I1aLYkjnoHV9nQvP9MHMA-gCLl3k/edit?usp=sharing,5,EVEN,11,11,ODD,11,7,EVEN,11,11,EVEN,11,12,EVEN,11,7,EVEN,11,6,EVEN,11,7,ODD,11,8,ODD,20,7,ODD,11,3,EVEN,11,8,ODD,20,4,ODD,11,6,ODD,20,10,ODD,11,8,ODD,20,4,ODD,20,4,EVEN,11,2,EVEN,11,11,EVEN,11,5,ODD,20,12,ODD,20,5,ODD,11
10,https://docs.google.com/spreadsheets/d/19s1zFHA9jBlmei9Iw11Wt-yZ0uZW4vfVW8JJ4TAmD98/edit?usp=sharing,7,ODD,20,4,ODD,20,11,ODD,20,2,EVEN,11,3,EVEN,11,8,ODD,11,8,EVEN,11,12,EVEN,11,12,EVEN,11,12,ODD,11,7,ODD,11,11,ODD,11,12,ODD,20,8,EVEN,11,9,ODD,20,1,EVEN,11,12,ODD,11,5,EVEN,11,7,EVEN,11,8,EVEN,11,6,ODD,11,8,ODD,11,3,ODD,11
11,https://docs.google.com/spreadsheets/d/1KnYlkC2g0ARTFUPCyIAspe-omr2f3Im3Pe-7B4YDEw4/edit?usp=sharing,4,ODD,20,9,ODD,20,10,ODD,11,9,EVEN,11,7,ODD,11,12,ODD,11,7,EVEN,11,1,EVEN,11,2,EVEN,11,2,ODD,20,4,EVEN,11,10,ODD,20,3,EVEN,11,1,EVEN,11,7,ODD,20,3,EVEN,11,5,ODD,11,6,EVEN,11,4,ODD,20,9,EVEN,11,2,ODD,20,5,ODD,11,12,ODD,11
12,https://docs.google.com/spreadsheets/d/1wX5-Ensz8ZDiXKFgaLlirT4ozszobGA3GiJJf5rfvj0/edit?usp=sharing,6,ODD,20,3,EVEN,11,5,ODD,20,3,ODD,11,9,EVEN,11,11,ODD,20,1,ODD,11,10,EVEN,11,10,EVEN,11,10,ODD,20,2,EVEN,11,6,ODD,20,10,ODD,11,5,ODD,20,5,EVEN,11,5,EVEN,11,10,ODD,20,7,EVEN,11,1,EVEN,11,2,ODD,20,4,EVEN,11,9,ODD,11,11,ODD,20